object,num_frames
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_62,110
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_46,108
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\dia_7,106
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_26,93
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_1,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_10,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_11,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_13,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_15,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_3,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_4,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_5,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_6,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\bat_gom_8,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_103,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_115,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_89,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_90,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_91,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_93,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_95,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_99,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\chen_gom_1,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\chen_gom_2,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\chen_gom_8,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\dia_2,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\dia_3,90
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\chen_gom_7,88
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_bt_10,87
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\dia_5,83
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_69,80
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_120,75
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_88,74
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_109,68
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_118,60
E:\LET_ME_COOK\Captone\PixelNerf_finetuning\dataset_pottery\binh_gom_124,56
